265 needs-browser/gated rows in menus/wip/router-20260904-164757.notes.json; opening 265, chains first

[  1/265] needs-browser  order.online               curl=unknown Deli Belly
[183/265] needs-browser  -                          curl=unknown Board & Brew - Escondido
[184/265] screened-out   slice                      curl=unknown Fiori’s Pizza
[185/265] needs-browser  toast                      curl=unknown Taco Lounge Escaya
[186/265] needs-browser  order.online               curl=unknown Sabor a Vida Cafe & Deli
[187/265] needs-browser  chownow                    curl=unknown Donburi Rice Bowls
[188/265] needs-browser  order.online               curl=unknown Chin's Szechwan - Del Mar
[189/265] needs-browser  SpotOn                     curl=unknown Tasty Pho
[190/265] needs-browser  toast                      curl=unknown Tita's Taco Shop
[191/265] needs-browser  -                          curl=unknown 1022 Cafe & Gelateria
[192/265] needs-browser  order.online               curl=unknown El Rinconcito Fruteria
[193/265] fetch-failed   -                          curl=unknown Taqueria El Kabron Jr.
[194/265] fetch-failed   -                          curl=unknown Tacaliente Mexican Grill
[195/265] fetch-failed   HungerRush                 curl=unknown Buonasera New York Pizzeria
[196/265] fetch-failed   toast                      curl=unknown Higher Grounds Coffee + Café
[197/265] fetch-failed   chownow                    curl=unknown Cozy Corner
[198/265] fetch-failed   Square Online storefront   curl=unknown House of Pho
[199/265] fetch-failed   -                          curl=unknown Prey Brewing Company
[200/265] fetch-failed   -                          curl=unknown NuYo Frozen Yogurt Telegraph Canyon
[201/265] fetch-failed   toast                      curl=unknown Madeleine
[202/265] fetch-failed   chownow                    curl=unknown Parakeet Juicery - La Jolla
[203/265] fetch-failed   clover                     curl=unknown Himalayan Bistro Oceanside
[204/265] fetch-failed   -                          curl=unknown HillCrust Pizza
[205/265] fetch-failed   clover                     curl=unknown Ryan Bros Coffee City Heights
[206/265] needs-browser  -                          curl=unknown Sukho Thai Extraordinaire
[207/265] needs-browser  toast                      curl=unknown Angry Chickz - Oceanside
[208/265] needs-browser  MealKeyWay                 curl=unknown Tengu Ramen
[209/265] wrong-branch   chownow                    curl=unknown Finney's Crafthouse
[210/265] needs-browser  -                          curl=unknown Baked Thicc
[211/265] needs-browser  MealKeyWay                 curl=unknown Hi!Dumplings
[212/265] needs-browser  Square Online storefront   curl=unknown PB Poke House Oceanside
[213/265] needs-browser  toast                      curl=unknown Smokin J's BBQ & Taphouse
[214/265] needs-browser  spothopper                 curl=unknown Players Sports Grill
[215/265] needs-browser  order.online               curl=unknown El Ranchero
[216/265] fetch-failed   MealKeyWay                 curl=unknown Ocean Buffet
[217/265] fetch-failed   plain-html                 curl=unknown Chef’s Wok & Dumplings
[218/265] fetch-failed   Square Online (own domain) curl=unknown Beach City Smoothies
[219/265] fetch-failed   MealKeyWay                 curl=unknown Pho Tan
[220/265] fetch-failed   order.online               curl=unknown Burrito Leo's Mexican Food
[221/265] fetch-failed   chownow                    curl=unknown Burger Bench Vista
[222/265] fetch-failed   order.online               curl=unknown EsKiNiTa
[223/265] fetch-failed   slice                      curl=unknown West Coast Pizza Company
[224/265] fetch-failed   order.online               curl=unknown Scoops Ocean Beach
[225/265] fetch-failed   olo                        curl=unknown Panini Kabob Grill - Park 12
[226/265] fetch-failed   slice                      curl=unknown Pop's Pizza
[227/265] fetch-failed   toast                      curl=unknown Breakers
[228/265] fetch-failed   chownow                    curl=unknown CinKuni (Italian & Japanese Cuisine)
[229/265] fetch-failed   toast                      curl=unknown QUICK BITES CAFE / Best Sandwiches
[230/265] fetch-failed   Square Online storefront   curl=unknown iWok Chinese Kitchen
[231/265] fetch-failed   slice                      curl=unknown Little Sisters Pizza
[232/265] fetch-failed   Square Online (own domain) curl=unknown Slurp
[233/265] fetch-failed   spothopper                 curl=unknown Brites Soft Serve
[234/265] fetch-failed   order.online               curl=unknown Halal Burger Co.
[235/265] needs-browser  order.online               curl=unknown Chin's Szechwan - Point Loma
[236/265] fetch-failed   Square Online (own domain) curl=unknown Le Charcuterie Bar
[237/265] fetch-failed   olo                        curl=unknown Coffee Bean
[238/265] fetch-failed   Square Online (own domain) curl=unknown Beach City Smoothies - Oceanside
[239/265] fetch-failed   HungerRush                 curl=unknown Pop Pops Paleta
[240/265] fetch-failed   Square Online storefront   curl=unknown Mein St. Asian Kitchen
[241/265] fetch-failed   Square Online (own domain) curl=unknown Chef Budda Blasian Soul Food LLC
[242/265] fetch-failed   order.online               curl=unknown Torta Time
[243/265] fetch-failed   olo                        curl=unknown Dimassi's Mediterranean Buffet
[244/265] needs-browser  -                          curl=unknown Habibi Mediterranean Grill
[245/265] needs-browser  Square Online (own domain) curl=unknown The Cakery Cafe
[246/265] fetch-failed   SpotOn                     curl=unknown Crest Taco
[247/265] fetch-failed   chownow                    curl=unknown Parakeet Cafe - Nautilus
[248/265] fetch-failed   toast                      curl=unknown Market St Pizzeria
[249/265] fetch-failed   -                          curl=unknown Bubble & Butter
[250/265] fetch-failed   toast                      curl=unknown Okama Ramen and Grill
[251/265] fetch-failed   MenuSifu                   curl=unknown Joyee Noodle House(UTC)
[252/265] needs-browser  toast                      curl=unknown Gold Coffee Shop
[253/265] needs-browser  -                          curl=unknown Sammy's Woodfire Pizza and Grille
[254/265] screened-out   order.online               curl=unknown Fish Restaurant
[255/265] wrong-branch   -                          curl=unknown Blue Water Grill
[256/265] wrong-branch   -                          curl=unknown The Coffee Spot
[257/265] needs-browser  -                          curl=unknown The Hamlett
[258/265] gated          slice                      curl=unknown Massachusetts Mike's Pizzeria
[259/265] gated          chownow                    curl=unknown Beeside Balcony La Jolla
[260/265] needs-browser  -                          curl=unknown Yogurt Lounge Serra Mesa
[261/265] needs-browser  MealKeyWay                 curl=unknown Yonny Mini Hotpot
[262/265] needs-browser  toast                      curl=unknown BCB Coffee Company
[263/265] needs-browser  Square Online storefront   curl=unknown Cafecito 1806
[264/265] needs-browser  -                          curl=unknown Casa de Freds
[265/265] needs-browser  -                          curl=unknown Verde Kitchen & Bar

platform                     attempted   filed  curl-ok
Square Online storefront            43       2        1
none                                40       1        1
order.online                        37       0        0
toast                               29       0        0
Square Online (own domain)          23       3        0
chownow                             18       0        0
MealKeyWay                          16       0        0
slice                               12       0        0
SpotOn                              11       0        0
plain-html                           9       0        0
spothopper                           9       0        0
olo                                  9       0        0
HungerRush                           4       0        0
clover                               2       0        0
GloriaFood widget                    1       0        0
Paytronix                            1       0        0
MenuSifu                             1       0        0

6 menus filed of 265 attempted
wrote menus/wip/browser-20260904-171028.json
wrote menus/wip/browser-20260904-171028.notes.json
bodies under C:/Users/Calvin  Lensink/AppData/Local/Temp/claude/browser-menus
