
  [8302] Snoozetown | 8861 Villa La Jolla Dr, La Jolla, CA 92037, La Jolla | listed=false hold=permit-only: no public listing found (DEH DEH2016-FFPP-007568) | dishes=0 (no_price 0) | ml=-/- | hours=false photo=false | src=deh:DEH2016-FFPP-007568 | web=- | menu=-

## Hash House A Go Go  (2 matches)
  [23] Hash House A Go Go | 3628 Fifth Ave, San Diego, CA 92103, San Diego | listed=true hold=- | dishes=58 (no_price 0) | ml=found/medium | hours=true photo=true | src=yelp:hash-house-a-go-go-san-diego | web=https://www.hashhouseagogo.com/location/san-diego-california | menu=https://www.doordash.com/store/hash-house-a-go-go-san-diego-38442/
  [13877] Hash House A Go Go | 5350 International Dr, Orlando, FL 32819, United States, Orlando | listed=false hold=outside San Diego County (sweep result) | dishes=0 (no_price 0) | ml=-/- | hours=false photo=false | src=sweep:ChIJvSTOX-1-54gR0tBx7ZyzRnM | web=https://orlando.hashhouseagogo.com/ | menu=-

## Morning Glory  (1 match)
  [409] Morning Glory | 550 W Date St Ste C, San Diego, CA 92101, San Diego | listed=true hold=- | dishes=14 (no_price 0) | ml=found/medium | hours=true photo=true | src=yelp:morning-glory-san-diego-3 | web=https://morningglorybreakfast.com/ | menu=https://menutoeat.com/morning-glory/

## Underbelly  (2 matches)
  [92] Underbelly | Corner of Kettner & Fir, 750 W Fir St #101, San Diego, CA 92101, San Diego | listed=true hold=- | dishes=17 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:underbelly-san-diego | web=https://godblessunderbelly.com/ | menu=https://order.toasttab.com/online/ubli
  [130] Underbelly | 3000 Upas St, San Diego, CA 92104, San Diego | listed=true hold=- | dishes=25 (no_price 0) | ml=found/high | hours=true photo=true | src=yelp:underbelly-san-diego-12 | web=https://godblessunderbelly.com/ | menu=https://order.toasttab.com/online/ubnp

## Tajima Ramen  (8 matches)
  [819] Tajima | 6061 El Cajon Boulevard ##2, San Diego | listed=true hold=- | dishes=22 (no_price 0) | ml=found/high | hours=true photo=true | src=osm:node/9775921581 | web=https://tajimasandiego.com/tajima-college-heights/ | menu=https://tajimaramen.com/tajima-college-heights/
  [3014] Tajima Ramen | -, Normal Heights | listed=true hold=- | dishes=57 (no_price 0) | ml=found/high | hours=false photo=false | src=osm:node/6923428890 | web=https://tajimaramen.com | menu=https://order.toasttab.com/online/tajima-college-heights
